"Group 1: age (45~55), socio-economic<0",,,,,"Group 2: age (45~55), socio-economic>0",,,,,"Group 3: education (12~16), socio-economic<0",,,,,"Group 4: education (12~16), socio-economic>0",,,,,"Group 5: age (45~55), education (12~16), socio-economic<0",,,,,,,"Group 6: age (45~55), education (12~16), socio-economic>0",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,,,wealth,age,education,socioeconomic
-1000,52,12,-33622,,71800,53,12,1222,,0,30,14,-43535,,126300,47,14,286,,11000,46,12,-28081,,,,50700,48,14,1672
7000,52,12,-33600,,20000,50,10,1224,,2200,24,12,-43510,,0,49,12,288,,25000,47,12,-28061,,,,128333,55,12,1680
37000,49,11,-33509,,16000,45,3,1237,,50000,24,13,-43508,,5400,34,12,294,,1112,50,12,-28029,,,,89600,55,13,1686
0,51,12,-33323,,223200,50,12,1242,,58300,23,13,-43446,,580000,65,14,294,,86800,50,12,-27976,,,,-25000,50,13,1712
200,55,11,-33184,,108500,53,17,1248,,-13700,35,16,-43359,,125000,35,15,295,,101700,50,12,-27971,,,,2000,47,16,1712
6400,46,16,-33180,,16500,51,12,1249,,0,26,12,-43345,,5000,27,15,302,,0,53,12,-27926,,,,96075,50,16,1714
103300,52,17,-32951,,35000,54,14,1249,,-20000,46,14,-43320,,25000,81,12,303,,0,49,12,-27880,,,,0,47,12,1715
0,53,12,-32871,,128450,53,17,1249,,590000,42,14,-43320,,-2000,24,12,309,,-5800,55,12,-27806,,,,170000,46,12,1740
52008,52,11,-32868,,178000,50,14,1249,,-25000,25,14,-43223,,24600,27,12,310,,191000,52,14,-27749,,,,-5000,48,12,1746
5600,50,6,-32809,,2000,48,15,1267,,41800,22,12,-43223,,-5965,46,14,312,,24280,46,12,-27713,,,,9010,52,12,1753
20000,45,10,-32763,,50000,52,13,1270,,-15000,49,13,-43190,,33700,74,16,312,,4000,48,12,-27711,,,,28351,50,12,1771
2813,45,10,-32751,,10800,48,16,1276,,4000,30,12,-43139,,136000,74,12,312,,29000,45,12,-27629,,,,5000,50,14,1772
3600,45,11,-32722,,3500,52,14,1278,,-26000,34,16,-43074,,35200,30,12,315,,27000,46,12,-27491,,,,3500,51,12,1778
0,53,12,-32718,,36300,50,12,1278,,0,40,12,-43074,,6500,49,12,317,,400,50,13,-27481,,,,-34920,52,14,1780
0,54,11,-32712,,72250,51,11,1280,,32000,67,12,-42996,,73700,45,12,324,,13800,46,12,-27440,,,,-3500,51,16,1820
65000,47,12,-32622,,0,55,11,1282,,9500,21,13,-42985,,1000,41,12,329,,12000,49,13,-27362,,,,140423,47,12,1820
109000,45,17,-32525,,551000,55,12,1289,,111000,43,14,-42985,,22580,42,14,331,,9350,51,16,-27351,,,,5200,46,12,1830
0,55,10,-32471,,98500,48,12,1295,,2000,24,12,-42976,,3680,21,12,333,,-11670,45,12,-27349,,,,10000,46,12,1832
1500,55,13,-32368,,500,49,16,1297,,55000,28,16,-42974,,2590000,44,12,334,,10080,45,13,-27289,,,,0,53,14,1840
6400,52,16,-32321,,3000,50,3,1311,,117000,37,16,-42921,,2500,38,12,335,,0,46,12,-27237,,,,-25900,47,14,1842
0,51,11,-32297,,1,45,13,1314,,100,32,12,-42847,,67000,35,14,335,,0,46,14,-27236,,,,-17876,52,16,1850
3000,54,0,-32186,,2200,54,14,1314,,160900,18,12,-42797,,58000,66,13,336,,20502,53,13,-27206,,,,3000,54,12,1852
433000,55,16,-32061,,-44938,52,12,1320,,20000,42,14,-42756,,45074,75,16,342,,0,52,12,-27168,,,,66000,51,12,1865
0,55,11,-31990,,402553,45,17,1320,,32100,31,14,-42710,,29600,44,12,347,,23150,45,15,-27148,,,,650,51,12,1871
5000,48,12,-31988,,4000,53,12,1321,,0,32,13,-42701,,-4650,38,16,348,,2000,55,12,-27081,,,,0,52,12,1882
50600,46,6,-31953,,15500,55,12,1321,,4000,26,12,-42693,,41000,24,13,349,,52000,46,12,-27020,,,,78250,47,12,1882
353000,53,14,-31909,,-35000,55,16,1332,,0,40,12,-42668,,0,37,13,351,,92000,49,12,-27016,,,,42600,50,12,1892
376000,52,14,-31713,,130300,53,13,1333,,2700,27,13,-42562,,393000,53,13,352,,0,52,15,-26981,,,,19000,52,12,1897
0,51,10,-31622,,28200,50,11,1340,,-1490,50,13,-42491,,-2570,29,12,356,,10000,50,12,-26954,,,,0,47,15,1901
25000,53,11,-31576,,98000,53,16,1348,,2200,41,14,-42471,,12760,45,13,358,,4000,47,16,-26938,,,,58600,50,12,1901
213000,46,12,-31555,,135000,49,14,1352,,-9000,26,12,-42460,,-7780,34,14,362,,101200,46,12,-26828,,,,4000,48,12,1902
0,52,11,-31548,,213000,45,15,1355,,9200,47,13,-42363,,8000,26,13,368,,1000,55,12,-26761,,,,700,45,12,1986
14000,52,12,-31420,,6720,53,12,1361,,0,48,12,-42349,,166000,63,16,369,,1200,49,14,-26733,,,,-469000,49,16,2010
-38830,55,12,-31363,,81000,51,13,1361,,0,58,12,-42301,,4200,42,15,372,,35400,45,12,-26716,,,,3016,55,12,2014
250000,54,14,-31325,,20000,48,17,1365,,341500,40,14,-42215,,12610000,23,16,372,,1300,47,12,-26714,,,,52000,46,12,2025
-12000,46,0,-31292,,-494000,54,16,1374,,-26194,28,12,-42134,,6300,57,15,373,,0,46,13,-26622,,,,50000,46,13,2030
61800,53,12,-31176,,1130000,47,16,1375,,-17000,24,12,-42127,,35351,31,16,379,,2000,46,12,-26530,,,,43000,50,12,2033
168630,55,11,-31156,,362500,49,14,1386,,2500,24,12,-42110,,155854,38,12,379,,-980,45,12,-26495,,,,-9000,51,16,2058
0,50,12,-31124,,804000,46,12,1414,,0,23,12,-42068,,785000,59,16,379,,0,48,13,-26442,,,,11300,45,14,2081
1200,50,11,-31122,,75000,51,13,1420,,-4500,32,12,-42032,,1679128,89,14,379,,52720,50,12,-26349,,,,45400,50,12,2082
0,52,12,-31108,,229000,50,14,1429,,800,23,12,-41967,,10000,36,14,382,,-8000,45,12,-26302,,,,-2700,47,12,2089
195500,51,14,-31108,,35000,55,12,1431,,35500,36,12,-41966,,74800,53,13,384,,-27000,46,15,-26286,,,,64000,52,12,2095
161200,48,5,-31070,,174000,54,12,1444,,13192,22,12,-41850,,258000,43,14,389,,2000,54,12,-26221,,,,20000,49,12,2099
1700,49,11,-31041,,13000,46,15,1456,,57100,61,12,-41850,,-2200,45,13,393,,4300,52,14,-26218,,,,25,45,12,2120
15000,49,17,-30986,,99000,55,13,1458,,-19995,36,12,-41795,,0,59,12,394,,-152826,46,16,-26209,,,,643000,53,13,2120
-17500,51,13,-30969,,6825,45,12,1467,,-1600,26,16,-41793,,32000,29,12,394,,500,50,12,-26197,,,,569500,51,12,2128
0,49,10,-30969,,1000,49,12,1472,,2000,27,12,-41723,,-11000,69,12,395,,305000,55,12,-26148,,,,22400,47,13,2129
47800,54,12,-30966,,81500,48,14,1495,,-23000,31,14,-41690,,-8950,46,13,395,,13000,46,14,-26138,,,,39000,55,14,2142
58000,52,12,-30934,,18000,46,12,1518,,-10900,22,13,-41679,,11900,26,14,395,,32000,47,12,-26043,,,,40800,52,12,2146
147640,45,6,-30901,,-39700,51,17,1529,,3000,46,12,-41644,,13000,31,16,395,,109000,48,15,-25989,,,,36485,48,12,2182
-6900,52,12,-30808,,37000,54,12,1558,,0,57,14,-41577,,-3000,29,15,396,,-31000,46,14,-25842,,,,30000,48,16,2186
1500,50,6,-30796,,-43800,55,14,1578,,0,23,12,-41568,,294500,57,16,397,,3000,53,14,-25838,,,,79000,47,14,2186
2000,47,12,-30759,,27000,45,6,1585,,10900,20,12,-41568,,536200,38,14,399,,6014,46,15,-25806,,,,800,48,12,2189
5000,55,11,-30756,,11000,52,12,1593,,13000,38,12,-41484,,0,22,12,402,,22000,51,14,-25798,,,,48600,48,12,2205
